Id,Ticker,YoySuccess,Date,Eps,PbRatio,PeRatio,MarketCap,OneDay,SixMonths,CashFlowToSales,Roe,Roe1,Roe2,Roe3,Roe4,BvS,BvS1,BvS2,BvS3,BvS4,DivYield,DivYield1,DivYield2,DivYield3,DivYield4
1,HPR,2,,-274.65,-0.601,-0.04,46111398,0,0,0.515133,249.69,0,0,0,0,-18.09,257.45,321.85,389.38,515.98,0,0,0,0,0
2,NRZ,6,,1.726568087,0.732,6.26,4833767831,0,5,2.32013739,97.11,0,0,0,0,14.15,12.81,17.51,17.57,15.52,0.0907,0.0983,0.119,0.1148,0.1085
3,EPZM,6,,-2.45,-5.173,-0.426,107017600,0,-6,-3.93534938,57.43,0,0,0,0,-0.2,1.83,3.68,3.24,3.83,0,0,0,0,0
4,ACER,5,,-1.08,-16.722,-1.875,28821855,-4,-44,-17.09213333,42.68,0,0,0,0,-0.12,0.74,1.82,5.27,6.05,0,0,0,0,0
5,PBT,4,,0.23,416.328,14.546,159402087,-7,46,-1.1158329,36.64,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.1094,0.0974,0.0679,0.0473
6,CIO,9,,10.97,0.867,1.557,754255329,-2,-29,1.33047149,30.03,0,0,0,0,19.99,8.83,12.46,10.65,11.91,0.0444,0.0926,0.0801,0.0987,0.103
7,NVAX,6,,-23.44,-17.543,-3.538,6169247851,-3,-54,-0.68639914,24.4,0,0,0,0,-4.73,10.9,-7.72,-9.08,-6.95,0,0,0,0,0
8,DSS,4,,901.53,0.006,0,1263238,-2,1,-0.34561862,24.27,0,0,0,0,56.73,20.6,14.47,13.59,9.95,0,0,0,0,0
9,GSKY,,,,-27.634,6.603,777897148,2,2,2.48967471,23.95,0,0,0,0,-0.37,-0.09,0.42,0.45,0,0,0.1558,0.0406,0.2291,0
10,PRO,6,,-1.83,329.228,-14.53,1179952250,-7,-20,-0.08413778,22.49,0,0,0,0,0.08,2.7,4.1,1.59,-1.49,0,0,0,0,0
11,PTCT,8,,-7.264605593,1792.12,-4.919,2577069170,-1,34,-0.44105701,13.36,0,0,0,0,0.02,7.3,10.1,7.53,3.99,0,0,0,0,0
12,GALT,0,,-0.52,119.938,-3.509,107104410,-4,3,0,10.86,0,0,0,0,0.02,0.42,0.87,0.18,0.03,0.0016,0,0.0029,0,0
13,AHT,5,,-12.37,-58.177,-0.578,154402500,-12,6,0.00557906,9.47,0,0,0,0,-0.12,-180.01,269.2,465.13,664.34,0.1206,0.6221,0.3454,0.2048,0.1682
14,XOG,,,,-3.723,-3.037,3868172000,1,116,0.44948051,9.4,0,0,0,0,-7.52,1.61,10,9.4,9.4,0,0.0496,0.015,0.0042,0.0002
15,FTDR,,,,1003.485,23.519,3010455000,-1,-23,0.0970285,9.08,0,0,0,0,0.04,-0.72,-2.11,-4.06,0,0,0,0,0,0
16,EAF,3,,1.46,113.111,6.816,2647014879,-6,-29,0.3059453,8.23,0,0,0,0,0.09,-1.23,-2.39,-3.62,7.38,0.004,0.0119,0.0308,0.3947,0
17,MTD,8,,33.25,193.022,43.028,33087961487,-2,-6,0.21069306,7.77,0,0,0,0,7.41,11.84,17.13,23.4,21.28,0,0,0,0,0
18,TTOO,7,,-0.40584,-3.545,-0.929,45741962,-11,-71,-1.57421654,6.88,0,0,0,0,-0.11,0.07,-0.75,0.28,0.04,0,0,0,0,0
19,LIND,6,,-2.378119196,145.299,-6.482,772699099,-12,-41,0.10143829,6.64,0,0,0,0,0.11,2.39,2.6,2.56,2.39,0.0068,0,0,0,0
20,TPX,6,,3,28.021,12.824,8008308104,-3,-7,0.09234966,6.42,0,0,0,0,1.37,2.42,1.65,0.99,0.52,0.0079,0,0,0,0
21,XENT,8,,-4.8,-13.117,-5.675,905996560,0,4,-0.66883023,6.4,0,0,0,0,-2.08,2.05,3.76,3.99,4.03,0,0,0,0,0
22,SBR,4,,0,48.83,0,721385983,-1,53,-0.29636858,6.33,0,0,0,0,1.01,0.27,0.39,0.39,0.32,0,0,0.0779,0.0802,0.0513
23,ABC,9,,7.48,112.495,16.316,25126235680,1,8,0.01078359,5.94,0,0,0,0,1.08,-4.98,13.7,13.46,9.45,0.0146,0.0175,0.0188,0.0174,0.0191
24,MIC,5,,30.63000251,1.061,0.117,313025911,0,13,-0.63265259,5.87,0,0,0,0,3.39,10.18,32.51,34.78,37.9,13.604,0.036,0.0894,0.1032,0.0816
25,NOG,6,,0.096588826,7.102,240.193,1527870365,-3,36,0.37029704,5.31,0,0,0,0,3.27,-5.22,14.43,18.2,-78.65,0.0032,0,0,0,0
26,CL,6,,2.56,115.234,32.399,70177252620,1,6,0.17028249,4.6,0,0,0,0,0.72,0.87,0.14,-0.12,-0.07,0.0239,0.0247,0.027,0.0286,0.0232
27,IT,8,,9.33,65.902,30.815,24453477600,-2,9,0.22799834,4.32,0,0,0,0,4.36,12.21,10.45,9.37,11.12,0,0,0,0,0
28,BE,,,,-42.531,-11.464,1885231980,-4,46,-0.06544983,4.28,0,0,0,0,-0.32,0.57,-2.26,-1.72,-34.58,0,0,0,0,0
29,STX,5,,7.5,161.428,10.67,17595600000,-2,-26,0.14209759,3.98,0,0,0,0,0.5,2.61,6.82,7.67,5.78,0.0347,0.0305,0.0568,0.0529,0.0461
30,TAT,4,,-0.1,2.764,-3.904,20950920,0,0,0.46236236,3.97,0,0,0,0,0.14,0.25,0.68,0.88,1.44,0,0,0,0,0
31,ADMS,,,,-4.159,-3.621,207836970,0,-41,-0.53082584,3.6,0,0,0,0,-1.42,-0.03,3.34,2.93,6.09,0,0,0,0,0
32,NETE,8,,-1.002,27.343,-12.578,75169640,9,0,0.02718884,3.6,0,0,0,0,0.46,1.06,2.25,6.7,3.06,0,0,0,0,0
33,LCI,6,,-9.23,-6.653,-0.503,182776969,0,-26,0.10346698,3.51,0,0,0,0,-0.7,7.85,8.84,16.13,15.24,0,0,0,0,0
34,NSP,8,,3.220849341,-2262.362,32.346,4013430332,-1,28,0.05007342,3.42,0,0,0,0,-0.05,1.15,0.1,1.88,1.62,0.0359,0.0205,0.0136,0.0077,0.0264
35,TEN,7,,0.43,9.663,23.466,821326016,-1,91,-0.00321597,3.35,0,0,0,0,1.04,-1.46,17.61,29.45,13.18,0,0,0.0261,0.0291,0.0168
36,ALJJ,7,,-0.11,3.702,-10.028,46561900,1,-21,-0.11269687,3.35,0,0,0,0,0.3,0.4,2.15,2.42,2.72,0,0,0,0,0
37,AMRS,6,,-1.33494,3372.76,-3.049,828646599,-19,-31,-1.98694014,3.21,0,0,0,0,0,-0.84,-2.47,-3.52,-6.07,0,0,0,0,0
38,ALIM,8,,-0.8543,-8.84,-5.267,23029452,7,63,-0.28939066,3.15,0,0,0,0,-0.51,-1.56,-0.93,0.58,3.34,0,0,0,0,0
39,KMB,5,,5.476685477,92.128,26.105,47353599356,0,3,0.13847911,3.13,0,0,0,0,1.51,1.84,-0.1,-0.82,1.78,0.032,0.0322,0.0283,0.0369,0.0324
40,COR,9,,1.96,85.537,68.574,5438501401,0,0,0.44329133,3.02,0,0,0,0,1.57,4.3,6.94,8.32,13.49,0.0435,0.0517,0.0567,0.0489,0.0391
41,TCDA,,,,2278.786,-2.814,496775424,-1,44,0,2.97,0,0,0,0,0,2.18,5.55,8.78,0,0,0,0,0,0
42,SEE,6,,3.36,42.229,20.723,10502284065,-2,-17,0.12523814,2.88,0,0,0,0,1.6,1.11,-1.27,-2.19,0.81,0.011,0.0156,0.0181,0.0176,0.0142
43,CRT,3,,1.11,6.146,9.542,50159998,2,32,0.24870051,2.82,0,0,0,0,1.36,1.42,1.55,1.65,1.76,0.1048,0.1169,0.067,0.059,0.0949
44,INSG,4,,-0.463221131,-17.27,-8.959,429234844,-6,-37,-0.10076788,2.69,0,0,0,0,-0.24,-0.29,-0.48,-0.55,-0.78,0,0,0,0,0
45,PBPB,6,,-0.86,-64.279,-6.275,149256000,-2,16,0.0061122,2.41,0,0,0,0,-0.08,0.24,2.89,3.78,4.66,0,0,0,0,0
46,IDXG,7,,-3.61,-0.649,-1.843,27539100,-3,-70,-0.1186631,2.41,0,0,0,0,-10.26,4.33,3.48,11.7,25.29,0,0,0,0,0
47,DELL,,,,-22.722,6.882,38286239330,-3,-17,0.0654601,2.39,0,0,0,0,-2.26,3.97,-1.31,-6.35,13.52,0,0,0,0.1034,0
48,VVV,,,,45.783,14.716,6180719836,-1,-7,0.08455882,2.39,0,0,0,0,0.74,-0.41,-1.37,-1.82,-0.57,0.0147,0.0228,0.0199,0.0146,0.0083
49,WU,4,,1.95,21.844,9.64,7767732082,1,-16,0.20608004,2.33,0,0,0,0,0.86,0.45,-0.09,-0.69,-1.05,0.0491,0.0403,0.0289,0.0413,0.0338
50,EVFM,2,,-1.639325272,-7.919,-3.843,788562016,-6,-94,-6.82283035,2.26,0,0,0,0,-0.8,0.02,0.39,-1.07,1.17,0,0,0,0.0001,0
51,WYNN,5,,-7.08029,-41.883,-11.882,8980456562,-3,-28,-0.0391912,2.16,0,0,0,0,-2.01,-3.3,16.33,19.09,9.29,0.0002,0.0102,0.0419,0.0444,0.0183
52,TXMD,6,,-0.62549,-41.22,-22.383,3859079728,-2,-9,-1.54873985,2.14,0,0,0,0,-0.34,-0.45,0.04,0.43,0.63,0,0,0,0,0
53,FLXN,4,,-2.53,-31.248,-4.578,520583920,0,-38,-0.60939243,2.08,0,0,0,0,-0.39,-0.53,2.92,7.88,7.39,0,0,0,0,0
54,HALO,8,,2.835566571,23.479,11.483,4624203760,-2,29,0.61272523,2.03,0,0,0,0,1.39,1.11,0.64,1.73,1.53,0,0,0,0,0
55,TEUM,5,,-0.33,-4.833,-1.678,74919060,0,-96,-0.34240868,2.02,0,0,0,0,-0.11,-0.01,2.05,0.94,-1.39,0,0,0,0,0
56,WAT,7,,11.16,53.543,28.405,19680072360,-1,4,0.22088498,1.96,0,0,0,0,5.92,3.74,-3.2,20.36,27.99,0,0,0,0,0
57,CROX,6,,11.62,428.093,8.307,6028400640,-5,-10,0.14434383,1.79,0,0,0,0,0.23,4.31,1.87,2.2,5.1,0,0,0.0011,0.0108,0.0121
58,RRR,8,,3.5,60.742,12.566,3039124000,-4,-18,0.38854267,1.73,0,0,0,0,0.72,5,7.2,7.52,5.67,0,0.0044,0.0161,0.016,0.0118
59,AMR,,,,2.162,4.094,1182440217,0,71,0.25800207,1.73,0,0,0,0,29.89,10.94,37.01,97.67,9.07,0,0,0,0,0.1455
60,OPTN,,,,-5.745,-1.52,125074226,-10,27,-0.61735507,1.73,0,0,0,0,-0.38,0.14,1.47,2.98,14.05,0,0,0,0,0
61,BW,2,,0.26,9.617,17.993,557787070,-4,5,-0.10985121,1.61,0,0,0,0,0.7,-6.97,-9.41,-22.5,19.34,0.0164,0,0,0,0
62,CWH,,,,9.298,5.277,1469543918,-1,0,-0.02050077,1.59,0,0,0,0,3.51,0.68,-0.87,1.2,2.12,0.1775,0.1472,0.0392,0.0436,0.0186
63,FTNT,9,,0.726271694,58.908,75.887,46048511347,-2,-14,0.38920775,1.56,0,0,0,0,0.96,1.04,1.55,1.19,0.68,0,0,0,0,0
64,CDMO,7,,2.08,4.851,6.631,846634680,-3,-6,0.07914078,1.56,0,0,0,0,2.84,1.34,0.74,0.95,1.18,0,0.0036,0.0131,0.0208,0.0285
65,NEOS,,,,-13.141,-4.766,80552511,0,0,-0.11243486,1.56,0,0,0,0,-0.12,0.24,0.32,-0.1,10.34,0,0,0,0,0
66,AAPL,7,,5.67,39.348,26.22,2.48E+12,-2,4,0.30506113,1.53,0,0,0,0,3.78,3.77,4.9,5.41,6.42,0.0058,0.0071,0.0123,0.013,0.0147
67,WOW,,,,2.699,2,1540700645,-1,3,-0.04852735,1.46,0,0,0,0,7,-2.6,-3.05,-3.55,-2.59,0,0,0,0,0
